Date,Time,CO,PM 10,NO,NOx,PM 2.5,SO2,NO2,Benzene
3/14/2020,8:00:00,1.4,36,4.2,101,84,11.6,62.7,0.853
3/14/2020,9:00:00,1.6,57,6.4,118,83,12.4,60,0.8627
3/14/2020,10:00:00,2.2,129,8.6,144,98,14.5,53.1,0.8728
3/14/2020,11:00:00,2.8,148,10.9,176,114,16.9,46.1,0.8789
3/14/2020,12:00:00,2.8,145,10.7,161,119,19.3,38.3,0.8474
3/14/2020,13:00:00,2,93,7.5,113,104,21.2,31.4,0.7812
3/14/2020,14:00:00,1.8,84,7.5,103,102,21.4,30.2,0.7616
3/14/2020,15:00:00,1.9,99,8.2,112,107,21.9,29,0.7525
3/14/2020,16:00:00,3,150,11.9,170,129,22.2,28.4,0.7516
3/14/2020,17:00:00,2.9,156,12,180,128,21.3,30.8,0.7696
3/14/2020,18:00:00,2.5,122,12.2,160,121,19.7,36.7,0.8307
3/14/2020,19:00:00,4.6,262,20.6,261,157,18.4,41.7,0.8732
3/14/2020,20:00:00,5.9,341,23.1,325,173,17.6,46.1,0.921
3/14/2020,21:00:00,3.4,214,14.7,217,146,16.7,49.6,0.932
3/14/2020,22:00:00,2.1,100,9,146,121,16.3,51,0.9341
3/14/2020,23:00:00,2.2,79,8.8,152,119,14.7,55.9,0.9314
3/15/2020,0:00:00,1.8,66,7.4,104,99,14.8,54.7,0.9164
3/15/2020,1:00:00,1.8,73,6.9,106,93,14,57,0.9094
3/15/2020,2:00:00,1.8,66,7,108,88,13.4,61.3,0.9361
3/15/2020,3:00:00,1.1,44,4.4,-200,-200,12.6,63.5,0.923
3/15/2020,4:00:00,-200,44,4,66,71,12.3,65.4,0.9351
3/15/2020,5:00:00,1,39,3.9,88,74,11.9,67.4,0.9375
3/15/2020,6:00:00,1.4,51,6.4,138,80,11.4,70.5,0.9475
3/15/2020,7:00:00,2.2,107,9.7,228,89,11.3,70.2,0.9401
3/15/2020,8:00:00,5.5,336,25.9,360,114,12.4,63.9,0.917
3/15/2020,9:00:00,8.1,618,36.7,478,149,14.8,54.3,0.9076
3/15/2020,10:00:00,5.8,438,26.6,394,157,17.4,45.6,0.8993
3/15/2020,11:00:00,4.2,334,20.1,319,155,19.8,38.5,0.8801
3/15/2020,12:00:00,3.1,221,14.1,201,134,22,34.1,0.8904
3/15/2020,13:00:00,2.9,207,14.9,171,119,23.3,32.2,0.9096
3/15/2020,14:00:00,2.9,191,15.4,159,111,23.9,30,0.8757
3/15/2020,15:00:00,2.5,185,12.1,153,104,24.4,28.9,0.8736
3/15/2020,16:00:00,2.3,141,11.5,143,99,24.4,29.4,0.8848
3/15/2020,17:00:00,2.8,214,14.8,156,110,23.8,31.3,0.9137
3/15/2020,18:00:00,6.1,471,32.1,314,162,22.5,35.4,0.9547
3/15/2020,19:00:00,8,685,39.2,404,187,20.4,42.5,1.0086
3/15/2020,20:00:00,6.5,538,31,320,165,18.3,52.6,1.0945
3/15/2020,21:00:00,4.2,319,19.9,256,145,16.7,57.4,1.0786
3/15/2020,22:00:00,3.2,224,15.3,193,125,15.7,60.2,1.0654
3/15/2020,23:00:00,1.4,67,6.9,89,101,15.3,61.4,1.058
3/16/2020,0:00:00,2.1,155,11.1,127,103,14.1,65.7,1.0494
3/16/2020,1:00:00,1.2,49,5.4,79,88,14.8,60.6,1.0148
3/16/2020,2:00:00,0.8,29,2.8,43,61,14.8,59.2,0.9879
3/16/2020,3:00:00,0.7,25,2.3,-200,-200,13.6,62.1,0.9636
3/16/2020,4:00:00,-200,25,2.6,59,59,12.3,66.2,0.945
3/16/2020,5:00:00,0.6,17,2,38,52,12.8,63.2,0.9283
3/16/2020,6:00:00,0.9,27,3.5,82,64,11.2,68.5,0.9081
3/16/2020,7:00:00,1.3,50,5.1,99,70,11,66.5,0.8705
3/16/2020,8:00:00,3.4,218,16.2,263,97,11.7,63.7,0.8719
3/16/2020,9:00:00,3.7,285,19.7,229,95,13.6,56.3,0.8743
3/16/2020,10:00:00,5.3,437,25.1,396,150,17.8,42.9,0.8672
3/16/2020,11:00:00,4.1,327,20,314,162,21.4,33.3,0.8417
3/16/2020,12:00:00,3.3,283,18.3,217,154,24.4,27.4,0.8231
3/16/2020,13:00:00,4,366,22.3,252,161,25.3,26.1,0.8264
3/16/2020,14:00:00,3.8,318,20.4,263,161,25.8,23.2,0.7589
3/16/2020,15:00:00,2.8,228,14.6,180,128,27,20.2,0.7094
3/16/2020,16:00:00,2.9,201,16.6,184,129,28.2,18.6,0.7014
3/16/2020,17:00:00,2.9,199,15.8,190,133,28,19.1,0.7098
3/16/2020,18:00:00,3.4,237,17.8,184,139,23.9,25.7,0.7519
3/16/2020,19:00:00,3.9,261,19.1,181,137,21.3,34.8,0.873
3/16/2020,20:00:00,3.2,230,15.8,166,143,20.4,36.7,0.8704
3/16/2020,21:00:00,5.1,349,24.9,317,177,19,41.3,0.9007
3/16/2020,22:00:00,2.6,183,13.5,184,138,17.9,45.9,0.9342
3/16/2020,23:00:00,1.7,88,9.1,130,117,16.7,48.9,0.9226
3/17/2020,0:00:00,1.7,85,8.6,132,107,15.5,52.9,0.9271
3/17/2020,1:00:00,1.2,47,5.4,95,90,15.5,51.9,0.9059
3/17/2020,2:00:00,0.9,34,4.1,70,79,14.1,55.6,0.891
3/17/2020,3:00:00,0.7,26,2.6,-200,-200,13.1,57.9,0.8666
3/17/2020,4:00:00,-200,17,1.9,54,60,12.7,57.9,0.8447
3/17/2020,5:00:00,0.5,11,1.6,28,40,11.8,58,0.8026
3/17/2020,6:00:00,0.5,18,1.9,46,53,11.9,57.4,0.7978
3/17/2020,7:00:00,1.6,84,7.5,160,84,9.9,65.2,0.7956
3/17/2020,8:00:00,4.1,260,21.4,320,108,11.1,60.2,0.7958
3/17/2020,9:00:00,6.6,534,36.4,377,127,14.1,50,0.802
3/17/2020,10:00:00,4.3,368,21.3,280,134,17.7,40.1,0.8048
3/17/2020,11:00:00,2.9,200,15.4,221,135,21.1,33.4,0.8265
3/17/2020,12:00:00,2.5,145,12.5,210,142,24.3,28.3,0.8471
3/17/2020,13:00:00,2.8,188,15.1,204,153,25.6,25.6,0.8254
3/17/2020,14:00:00,2.6,152,13.7,161,123,25.9,25.9,0.8503
3/17/2020,15:00:00,2,103,10.4,135,104,26.8,18.7,0.65
3/17/2020,16:00:00,2.9,193,15.2,186,129,29.3,15.8,0.6309
3/17/2020,17:00:00,2.5,134,12.3,147,114,28.5,14.9,0.5708
3/17/2020,18:00:00,5,386,27,299,158,25.9,16,0.5237
3/17/2020,19:00:00,7.6,577,38.4,411,194,23.1,26.5,0.7403
3/17/2020,20:00:00,6.7,523,35.1,347,182,20.5,38.2,0.9133
3/17/2020,21:00:00,5.7,472,27.2,336,180,19.1,42.6,0.9294
3/17/2020,22:00:00,2.8,206,15,202,136,17.2,44.1,0.8558
3/17/2020,23:00:00,2.6,216,15.7,178,127,16,50.9,0.9206
3/18/2020,0:00:00,2.3,159,13,154,116,14.8,53.9,0.9024
3/18/2020,1:00:00,1.4,70,8.1,92,107,14.3,55.4,0.8975
3/18/2020,2:00:00,1,44,5.5,61,88,14.8,52.1,0.8686
3/18/2020,3:00:00,0.7,42,3.6,-200,-200,13.9,53.9,0.8501
3/18/2020,4:00:00,-200,28,2.9,60,78,11.6,61.9,0.8442
3/18/2020,5:00:00,0.6,20,2.5,37,57,12,58.9,0.8233
3/18/2020,6:00:00,0.7,26,3,68,71,10.9,62.1,0.8113
3/18/2020,7:00:00,1.5,78,7.7,139,85,10.6,63.3,0.8067
3/18/2020,8:00:00,4.7,319,23.3,339,124,11.5,60,0.8117
3/18/2020,9:00:00,6.6,506,35.8,421,151,14.3,50.6,0.8186
3/18/2020,10:00:00,4.5,-200,21.3,349,150,17.8,40.5,0.821
3/18/2020,11:00:00,2.8,-200,14.3,224,152,20.8,34.4,0.8365
3/18/2020,12:00:00,2.2,-200,12.5,171,139,23.8,28.2,0.8219
3/18/2020,13:00:00,2.2,-200,12.2,149,133,24.2,28.7,0.8515
3/18/2020,14:00:00,2.3,-200,13.1,137,126,25.2,24.9,0.7829
3/18/2020,15:00:00,2.2,-200,14.4,149,128,27,17.8,0.6275
3/18/2020,16:00:00,2.8,-200,16.8,172,169,27.1,23.1,0.818
3/18/2020,17:00:00,2.7,-200,14.5,166,149,25.8,23.9,0.7832
3/18/2020,18:00:00,3.7,-200,21.5,214,156,23,26.8,0.7446
3/18/2020,19:00:00,5.1,-200,26.4,280,168,20.7,31.1,0.7523
3/18/2020,20:00:00,5.1,-200,26,276,176,18.6,36.2,0.7676
3/18/2020,21:00:00,3.2,-200,14.1,178,135,16,48.4,0.8768
3/18/2020,22:00:00,2.1,-200,10.3,129,121,14.5,57.8,0.9456
3/18/2020,23:00:00,1.7,-200,8.3,95,99,13.1,64.2,0.9606
3/19/2020,0:00:00,2,-200,8.9,126,106,12,69.7,0.9735
3/19/2020,1:00:00,1.6,-200,6.6,103,96,11.9,71.1,0.9915
3/19/2020,2:00:00,0.9,-200,3.6,48,63,12.5,69.3,1.0029
3/19/2020,3:00:00,0.7,-200,2.5,-200,-200,12.5,67.5,0.9768
3/19/2020,4:00:00,-200,-200,1.8,20,32,12.3,67.7,0.9665
3/19/2020,5:00:00,0.5,-200,1.3,18,28,12.5,66.8,0.962
3/19/2020,6:00:00,0.7,-200,2.3,56,61,12.3,66.3,0.9487
3/19/2020,7:00:00,1.5,-200,6.7,115,99,12.4,64.9,0.9332
3/19/2020,8:00:00,4.8,-200,22.8,320,157,13,61.6,0.9209
3/19/2020,9:00:00,6.2,-200,31.3,357,166,13.6,58.8,0.912
3/19/2020,10:00:00,4,-200,19.2,253,149,13.9,57.1,0.9032
3/19/2020,11:00:00,3.3,-200,16.4,218,135,14.5,54.4,0.8917
3/19/2020,12:00:00,2.8,-200,14,192,127,15.5,50.1,0.8744
3/19/2020,13:00:00,3,-200,15.3,176,122,16.1,47.6,0.8655
3/19/2020,14:00:00,3.3,-200,16.7,198,135,16.3,47.1,0.864
3/19/2020,15:00:00,3.5,-200,19,212,139,16.4,47.5,0.8791
3/19/2020,16:00:00,4,-200,19.4,249,147,16.1,50.2,0.9094
3/19/2020,17:00:00,4.6,-200,20.9,270,158,16,50.7,0.9142
3/19/2020,18:00:00,4.1,-200,20.2,231,146,15.8,50.3,0.8989
3/19/2020,19:00:00,4.5,-200,21.7,251,144,15.5,50.6,0.884
3/19/2020,20:00:00,3.9,-200,19.8,210,138,15.4,51.4,0.8956
3/19/2020,21:00:00,4,-200,16.7,249,143,15.2,53.1,0.9117
3/19/2020,22:00:00,2.2,-200,9.1,143,116,14.7,57.6,0.9573
3/19/2020,23:00:00,2.1,-200,8.3,127,109,14.2,58.3,0.938
3/20/2020,0:00:00,1.7,-200,5.8,104,92,13.8,57.9,0.9085
3/20/2020,1:00:00,1.6,-200,5.2,86,83,13.9,55.9,0.8842
3/20/2020,2:00:00,1.3,-200,4.1,74,81,13.9,55.6,0.8765
3/20/2020,3:00:00,1.3,-200,3.4,-200,-200,13.8,55.1,0.8666
3/20/2020,4:00:00,-200,-200,2.9,44,55,13.8,54.6,0.8574
3/20/2020,5:00:00,0.8,-200,3.1,42,53,13.6,55.1,0.856
3/20/2020,6:00:00,0.8,-200,2.5,63,67,13.6,59,0.9129
3/20/2020,7:00:00,1.1,-200,4.3,115,91,13.5,58.4,0.896
3/20/2020,8:00:00,2.1,-200,8.9,170,113,13.8,58,0.9083
3/20/2020,9:00:00,2.4,-200,10.5,147,102,14.6,53.1,0.8765
3/20/2020,10:00:00,2.6,-200,12.5,166,107,15,52.3,0.8881
3/20/2020,11:00:00,2.8,-200,12.3,195,113,15.4,52.1,0.9046
3/20/2020,12:00:00,2.6,-200,11.7,182,108,16.3,50,0.9158
3/20/2020,13:00:00,2.6,-200,11.7,168,105,17.1,47.9,0.9281
3/20/2020,14:00:00,2.1,-200,9.3,125,93,19,42.9,0.937
3/20/2020,15:00:00,1.7,-200,7.6,95,87,19.5,42.3,0.9476
3/20/2020,16:00:00,1.6,-200,6.7,79,76,19.5,42.3,0.9493
3/20/2020,17:00:00,2.1,-200,9.7,119,94,19.1,43.8,0.9556
3/20/2020,18:00:00,2.3,-200,12.4,142,110,18.5,46.3,0.9744
3/20/2020,19:00:00,3.5,-200,16.6,215,136,17.4,51.6,1.0159
3/20/2020,20:00:00,3.9,-200,16.4,229,139,17.1,51.3,0.9914
3/20/2020,21:00:00,3.3,-200,13.7,206,125,16.4,53.8,0.9964
3/20/2020,22:00:00,2.3,-200,9.9,147,111,16.2,55.4,1.0132
3/20/2020,23:00:00,2.1,-200,8.9,122,97,15.9,57.7,1.0356
3/21/2020,0:00:00,2.8,-200,10.6,175,107,15.7,58.6,1.0396
3/21/2020,1:00:00,2.1,-200,7.4,133,90,15.1,60.9,1.0398
3/21/2020,2:00:00,1.6,-200,6.2,89,84,15.6,56.6,0.9951
3/21/2020,3:00:00,1.6,-200,6.5,-200,-200,15.2,57.9,0.9941
3/21/2020,4:00:00,-200,-200,5.8,85,87,15.4,57.8,1.0021
3/21/2020,5:00:00,1.1,-200,4,55,66,14.9,60.6,1.0196
3/21/2020,6:00:00,0.7,-200,2.1,24,36,14.5,63,1.0316
3/21/2020,7:00:00,0.8,-200,3.6,72,62,14.2,66.2,1.063
3/21/2020,8:00:00,1.2,-200,4.4,122,91,14.5,65.3,1.0704
3/21/2020,9:00:00,1.4,-200,5.4,111,89,15.3,62.1,1.073
3/21/2020,10:00:00,1.7,-200,7.1,123,93,16.3,59,1.0868
3/21/2020,11:00:00,1.8,-200,7.3,106,81,18.9,49.6,1.07
3/21/2020,12:00:00,1.8,-200,7.6,103,82,19.4,46.1,1.0249
3/21/2020,13:00:00,1.9,-200,6.8,102,80,20.8,41.6,1.0091
3/21/2020,14:00:00,1.3,-200,4.6,48,48,21.4,40.3,1.0126
3/21/2020,15:00:00,1.6,-200,8.4,63,61,21.2,39.3,0.9791
3/21/2020,16:00:00,1.9,-200,6.9,98,89,20.3,38,0.8942
3/21/2020,17:00:00,2.3,-200,9,132,105,19.4,41.3,0.9206
3/21/2020,18:00:00,3.8,-200,15.1,173,116,18.5,43.8,0.9252
3/21/2020,19:00:00,3.5,-200,12.6,185,119,17.8,48.1,0.9689
3/21/2020,20:00:00,4.3,-200,15.1,266,144,17.9,46.9,0.952
3/21/2020,21:00:00,2.8,-200,9.9,188,123,17.4,49.1,0.9688
3/21/2020,22:00:00,1.9,-200,8,122,105,17,51.7,0.9914
3/21/2020,23:00:00,1.9,-200,7.9,112,93,16.4,55.1,1.0198
3/22/2020,0:00:00,1.7,-200,6.1,93,86,16.1,60,1.0919
3/22/2020,1:00:00,1.5,-200,5.1,74,76,15.8,60.5,1.0805
3/22/2020,2:00:00,0.6,-200,1.7,23,33,16.3,57,1.0491
3/22/2020,3:00:00,0.4,-200,0.7,-200,-200,16.9,53.9,1.0309
3/22/2020,4:00:00,-200,-200,0.8,17,27,16.1,55.9,1.0153
3/22/2020,5:00:00,0.3,-200,0.7,15,23,16.5,53.9,1.0049
3/22/2020,6:00:00,0.6,-200,2,41,46,16.4,54,0.9979
3/22/2020,7:00:00,1.2,-200,5.1,86,76,15.7,57.6,1.0195
3/22/2020,8:00:00,3.6,-200,17.7,226,116,15.8,53.7,0.9571
3/22/2020,9:00:00,3.7,-200,18.4,214,115,17.4,42.1,0.8281
3/22/2020,10:00:00,1.8,-200,6.9,115,83,17.9,38.4,0.7793
3/22/2020,11:00:00,1.6,-200,7.3,124,87,18.5,36.7,0.7764
3/22/2020,12:00:00,1.9,-200,9.6,122,90,21,29.6,0.7263
3/22/2020,13:00:00,2,-200,10.4,107,87,21.3,28.1,0.7067
3/22/2020,14:00:00,2.2,-200,11.2,133,99,21.3,26.1,0.6539
3/22/2020,15:00:00,2.1,-200,10.7,130,99,21.3,26.8,0.6681
3/22/2020,16:00:00,2.3,451,11.6,150,101,21.3,24.2,0.606
3/22/2020,17:00:00,2.6,185,12.4,138,103,20.2,28.5,0.6682
3/22/2020,18:00:00,3.8,426,18.3,213,129,17,43.1,0.8264
3/22/2020,19:00:00,4.4,672,21,232,143,15.6,47.4,0.8347
3/22/2020,20:00:00,4.5,624,21,238,146,15.3,47.4,0.8178
3/22/2020,21:00:00,3.3,325,14.5,180,124,14.5,49.7,0.8177
3/22/2020,22:00:00,2,143,8.4,128,113,13.9,52,0.8231
3/22/2020,23:00:00,1.1,89,4.3,65,80,14.5,49.4,0.8106
3/23/2020,0:00:00,0.9,73,3.8,53,72,13.8,51.4,0.8071
3/23/2020,1:00:00,0.8,48,2.7,47,64,14,51.3,0.8163
3/23/2020,2:00:00,0.7,47,2.5,51,70,13,56.8,0.8444
3/23/2020,3:00:00,0.5,36,1.2,-200,-200,11,70,0.9215
3/23/2020,4:00:00,-200,25,0.8,20,31,10.1,76.8,0.9483
3/23/2020,5:00:00,0.3,19,0.6,13,22,8.8,80.5,0.9147
3/23/2020,6:00:00,0.5,26,1.8,33,47,9.6,75.4,0.9004
3/23/2020,7:00:00,1.1,60,4.6,103,88,9.8,75,0.9093
3/23/2020,8:00:00,3,248,14.2,224,130,10,74.2,0.9117
3/23/2020,9:00:00,3.8,535,21,244,132,11.2,69.7,0.9232
3/23/2020,10:00:00,3.4,340,16.2,237,132,12,62.9,0.8803
3/23/2020,11:00:00,3,325,15.5,220,131,12.8,55.8,0.821
3/23/2020,12:00:00,2.7,267,13.4,207,129,13.1,54.8,0.8234
3/23/2020,13:00:00,3.5,325,16.9,208,132,13.8,53.4,0.8351
3/23/2020,14:00:00,2.8,268,12.4,160,110,16,42.4,0.7674
3/23/2020,15:00:00,1.9,136,10.1,131,99,14.1,49.8,0.7971
3/23/2020,16:00:00,2,118,8.7,128,100,12,61.1,0.8537
3/23/2020,17:00:00,3,276,13.8,176,122,13.6,54.6,0.8465
3/23/2020,18:00:00,1.9,151,9.3,107,97,13.7,49.5,0.7695
3/23/2020,19:00:00,2.7,236,13,131,112,11.7,57.1,0.7822
3/23/2020,20:00:00,3.3,220,14.3,166,128,11.5,58.2,0.7867
3/23/2020,21:00:00,1.7,87,7.6,89,101,12.6,54.2,0.7881
3/23/2020,22:00:00,1.3,81,5.3,81,96,12,54.9,0.7664
3/23/2020,23:00:00,1.3,74,5.4,78,86,11,61.4,0.8057
3/24/2020,0:00:00,1.2,55,4.9,70,85,11.1,62.2,0.8199
3/24/2020,1:00:00,1.1,74,4.6,76,79,10.8,62.5,0.8082
3/24/2020,2:00:00,0.9,35,2.7,43,61,11.3,60,0.8025
3/24/2020,3:00:00,0.6,29,1.6,-200,-200,10.6,61.6,0.7856
3/24/2020,4:00:00,-200,29,1.7,44,66,10.2,62.7,0.7813
3/24/2020,5:00:00,0.6,20,1.2,34,54,10.9,58.6,0.7628
3/24/2020,6:00:00,0.8,32,1.7,43,57,10.8,57.2,0.7382
3/24/2020,7:00:00,1.2,84,4.8,79,75,10.4,59.2,0.7455
3/24/2020,8:00:00,3.1,245,13.8,174,97,11,57.3,0.7501
3/24/2020,9:00:00,4.4,553,23.7,235,110,11.2,56.9,0.7565
3/24/2020,10:00:00,3.4,450,14.2,218,113,12.1,54.9,0.7734
3/24/2020,11:00:00,1.7,118,8,136,88,15.1,44.3,0.7535
3/24/2020,12:00:00,1.5,118,6.7,117,85,15.6,40.6,0.7146
3/24/2020,13:00:00,1.7,144,8.7,119,96,16.9,34.6,0.6597
3/24/2020,14:00:00,2.2,159,10.8,126,106,16.6,35.6,0.6697
3/24/2020,15:00:00,-200,122,6.7,100,91,11.3,63.9,0.8554
3/24/2020,16:00:00,2.7,230,11.4,197,126,9.6,81.1,0.972
3/24/2020,17:00:00,2.8,320,13.4,195,130,11.7,69.1,0.9497
3/24/2020,18:00:00,2.7,263,12,156,111,10.7,68.5,0.8794
3/24/2020,19:00:00,4.5,556,20.2,247,134,10.7,67.3,0.8643
3/24/2020,20:00:00,3.5,458,14.4,190,136,10.8,65.7,0.8486
3/24/2020,21:00:00,2.6,214,9.4,169,125,10.3,66.3,0.8336
3/24/2020,22:00:00,1.7,97,5.9,118,108,10.1,66.9,0.8248
3/24/2020,23:00:00,1.3,79,4.5,81,87,10.4,61.1,0.7717
3/25/2020,0:00:00,1.3,81,4.5,80,89,10.3,59.9,0.7516
3/25/2020,1:00:00,1,52,2.5,42,58,11,58.4,0.7686
3/25/2020,2:00:00,0.7,38,1.8,38,54,9.1,68.1,0.789
3/25/2020,3:00:00,0.7,35,1.4,-200,-200,9.5,68.2,0.8091
3/25/2020,4:00:00,0.5,29,0.9,18,28,9.3,72.3,0.8496
3/25/2020,5:00:00,0.5,21,0.6,12,20,9.9,66.8,0.8152
3/25/2020,6:00:00,0.6,46,1.4,43,51,7.6,83.2,0.8695
3/25/2020,7:00:00,1.1,55,3.8,84,82,8.1,79,0.8544
3/25/2020,8:00:00,2.7,271,11.6,184,112,8.7,74.6,0.8429
3/25/2020,9:00:00,3.5,434,17.8,202,119,8.6,75.1,0.8415
